make,model,recommend,where,body,price,manuf,citympg,hwympg,range,reliable,satisfy,weight,horse,rpm,gastank,engine,length
Acu,Integra,Yes,Asian,Subcompact,11260,Acu,22,36,390,5 Excellent,5 Excellent,2480,118,3115,13.2,97,172
Dod,Colt,Yes,Asian,Subcompact,6678,Chr,,,,5 Excellent,3 Average,2270,81,2845,13.2,90,159
Dod,Omni Am,No,American,Subcompact,6595,Chr,20,43,410,1 Poor,1 Poor,2300,93,2280,13,135,163
Eag,Summit,Yes,Asian,Subcompact,9347,Chr,,,,,,2340,81,2865,13.2,90,170
For,Escort,No,American,Subcompact,6964,For,,,,2 Below average,2 Below average,2345,90,2320,13,114,169
For,Festiva,Yes,Asian,Subcompact,5699,For,28,47,380,5 Excellent,,1715,58,3170,10,81,141
Geo,Metro,No,Asian,Subcompact,5995,GM,31,58,415,3 Average,3 Average,1640,48,3025,10.6,61,150
Geo,Prizm,Yes,American,Subcompact,9660,GM,,,,,4 Above average,2250,102,2780,13.2,97,171
Geo,Spectru,No,Asian,Subcompact,7295,Isu,,,,4 Above average,1 Poor,1990,70,2410,11.1,91,160
Hon,Civic,Yes,Asian,Subcompact,6385,Hon,23,43,410,5 Excellent,5 Excellent,2210,92,2855,11.9,91,167
Hyu,Excel,No,Asian,Subcompact,5499,Hyu,23,45,360,3 Average,2 Below average,2185,68,2690,10.6,90,168
Maz,323,Yes,Asian,Subcompact,6299,Maz,24,38,425,5 Excellent,4 Above average,2175,82,2735,12.7,97,170
Mer,Tracer,Yes,European,Subcompact,8556,For,18,35,350,3 Average,,2285,82,2565,11.9,97,170
Isu,I-Mark,No,Asian,Subcompact,7779,Isu,,,,,,2025,70,2410,11.1,90,161
Mit,Mirage,Yes,Asian,Subcompact,9159,Mit,,,,,,2490,135,2845,13.2,97,170
Mit,Precis,No,Asian,Subcompact,5499,Mit,22,39,330,3 Average,,2185,68,2690,10.6,90,161
Nis,Sentra,Yes,Asian,Subcompact,6999,Nis,18,38,390,5 Excellent,3 Average,2275,90,2680,13.2,97,169
Pon,Le Mans,No,Asian,Subcompact,6399,GM,18,43,445,1 Poor,,2350,74,2405,13.2,98,172
Sub,Subaru,Yes,Asian,Subcompact,10031,Sub,18,32,420,5 Excellent,,2295,90,2770,15.9,109,175
Sub,Justy,No,Asian,Subcompact,5866,Sub,,,,,,1900,66,2945,9.2,73,146
Toy,Corolla,Yes,Asian,Subcompact,10628,Toy,20,41,420,5 Excellent,4 Above average,2355,90,2920,13.2,97,170
Toy,Tercel,Yes,Asian,Subcompact,7338,Toy,27,49,480,5 Excellent,3 Average,2075,78,2765,11.9,89,167
VW,Fox,No,European,Subcompact,6890,VW,24,41,415,3 Average,3 Average,2190,81,2765,12.4,109,163
VW,Golf,Yes,European,Subcompact,8564,VW,,,,3 Average,3 Average,2215,100,2510,14.5,109,158
VW,Jetta,Yes,European,Subcompact,9690,VW,19,33,405,4 Above average,4 Above average,2330,100,2510,14.5,109,172
Yug,Yugo,No,European,Subcompact,4349,Yug,23,39,270,1 Poor,,1840,52,3650,8.4,68,139
Che,Camaro,No,American,Sporty,11495,GM,13,32,325,1 Poor,1 Poor,3430,170,1555,15.5,305,192
Che,Corvett,No,American,Sporty,31545,GM,,,,1 Poor,3 Average,3280,240,1415,20,350,177
Dod,Daytona,No,American,Sporty,9295,Chr,18,43,405,1 Poor,3 Average,2885,100,2160,14,153,179
For,Mustang,No,American,Sporty,11410,For,13,28,325,2 Below average,2 Below average,3310,225,1515,15.4,302,180
For,Probe,Yes,American,Sporty,10943,For,21,43,515,3 Average,,2695,110,2530,15.1,133,177
Hon,Civ CRX,Yes,Asian,Sporty,9310,Hon,,,,5 Excellent,5 Excellent,2170,108,3010,11.9,97,148
Hon,Prelude,Yes,Asian,Sporty,13945,Hon,21,34,445,5 Excellent,4 Above average,2710,135,3035,15.9,119,176
Isu,Impulse,No,Asian,Sporty,14329,Isu,,,,,,2970,140,2700,15.1,122,173
Maz,MX-6,Yes,American,Sporty,11399,For,,,,3 Average,,2705,110,2530,15.9,133,177
Maz,RX-7,Yes,Asian,Sporty,16150,Maz,,,,4 Above average,4 Above average,2790,146,2430,16.6,80,169
Mer,XR4Ti,No,European,Sporty,19759,Mrk,,,,2 Below average,,2965,175,2600,15,140,178
Mit,Starion,No,Asian,Sporty,19859,Mit,,,,,3 Average,3090,188,2610,19.8,156,173
Nis,240SX,Yes,Asian,Sporty,13249,Nis,,,,,,2775,140,2670,15.9,146,178
Nis,300ZX,No,Asian,Sporty,23449,Nis,,,,5 Excellent,4 Above average,3165,165,2465,19,181,173
Nis,Pulsar,No,Asian,Sporty,11999,Nis,21,38,390,3 Average,3 Average,2390,90,3015,13.2,97,167
Ply,Laser,No,American,Sporty,10397,Chr,,,,,,2840,92,2810,15.8,107,171
Por,944,No,European,Sporty,36360,Por,,,,3 Average,3 Average,2900,165,2380,21.1,165,169
Sub,XT,No,Asian,Sporty,13071,Sub,,,,,,2485,97,2935,15.9,109,178
Toy,Celica,Yes,Asian,Sporty,11808,Toy,,,,5 Excellent,4 Above average,2780,135,3030,15.9,122,174
Toy,MR2,Yes,Asian,Sporty,13798,Toy,,,,5 Excellent,5 Excellent,2375,115,2900,10.8,97,156
Toy,Supra,No,Asian,Sporty,22360,Toy,,,,4 Above average,4 Above average,3470,200,2840,18.5,180,182
VW,GTI,No,European,Sporty,13650,VW,,,,2 Below average,3 Average,2270,123,3060,14.5,109,158
Alf,Romeo,No,European,Compact,18475,Alf,14,30,430,,,3010,154,2840,17.6,152,171
Aud,80/90,No,European,Compact,19350,Aud,19,35,580,,,2670,108,2835,15.9,121,176
BMW,325i,Yes,European,Compact,24650,BMW,16,31,360,4 Above average,3 Average,2890,168,2625,16.4,152,175
Che,Beretta,No,American,Compact,10575,GM,18,39,390,1 Poor,,2655,90,2375,13.6,121,187
Che,Cavalie,No,American,Compact,7375,GM,19,38,405,2 Below average,2 Below average,2485,90,2160,13.6,121,179
Dod,Aries,No,American,Compact,7595,Chr,,,,3 Average,3 Average,2535,93,2180,14,135,179
Dod,Spirit,No,American,Compact,9995,Chr,,,,,,2940,141,1980,16,181,182
Eag,Medalli,No,European,Compact,10405,Ren,18,32,475,1 Poor,,2655,103,2180,17.4,132,183
For,Tempo,No,American,Compact,9057,For,17,32,385,1 Poor,2 Below average,2800,98,2195,15.4,141,177
Hon,Accord,Yes,Asian,Compact,11650,Hon,19,40,460,5 Excellent,5 Excellent,2590,98,2380,15.9,119,180
Maz,626,Yes,Asian,Compact,11299,Maz,16,35,395,5 Excellent,3 Average,2680,145,2515,15.9,133,179
Mer,Benz190,Yes,European,Compact,31590,Mer,,,,3 Average,3 Average,3020,158,2780,14.5,159,175
Mit,Galant,Yes,Asian,Compact,10971,Mit,18,35,430,,4 Above average,2745,102,2615,15.9,122,184
Mit,Sigma,Yes,Asian,Compact,17069,Mit,14,29,370,4 Above average,,3075,142,2185,15.9,181,186
